resp,comp,fproj,timezone,sfips,smsa,qcendiv,sstate,phtype,susr,qmarket,scregion,sdensity3,cregion,state,fips,density3,qlan,qs1,cintro,qs1a,ns1,cointro,qs2a,qs2b,ss2c,qs3,qs4,sex,q1,q2,q3,q4,q6,q7oe,q7.1,q7.2,q7.3,q7.4,q7.5,q7@,q7a,q8a,q8b,q8c,q8d,q8e,q8f,q8g,q8h,int1,int2,q9a,q9b,q9c,q9d,q9e,q9f,q10,q10a,q10b,q13,q14,q15,age,educ,schl,schl2,schl2@,rschl,rschl2,rschl2@,q17,q17@,q18a,q18b,q18c,q18d,q18e,q19,q20,q21,q22,q23a,q23b,q23c,l1,q24,q25,q25a,q26a,q26b,q26c,q26d,q26e,q26f,q26g,employ,employ2,employ2@,employ3,q31,q32,q33,q34,q35,q36,q37,q38,q39,q40,q41,q42,q43,q44a,q44b,q44c,q44d,q44dd,q44e,q44f,q44g,q44h,q44i,q45a,q45b,q46,q47,q48,marital,lwp2,lwp3,kidsa,fam1,fam2,fixhisp,hispx,hisp2,hisp3,racecmb,race1_1,race1_2,race1_3,race1_4,racethn,hh1,hh2,hh30,relig,relig@,chr,born,attend,income,finan,health,regist,regicert,party,partyln,ideo,birthh,mothrh,fathrh,home,home2,l1a,l2,l3,qc1,qc2,qc3,isex,ihisp1,irace1_1,irace1_2,irace1_3,irace1_4,ilang,fdate,fdow,phoneuse,adults,psadjust,puadjust,wt1,q46x
101458.0,Complete,4968c,Eastern,34021,45940.0,2,,,,1,1,4,Northeast,NJ,34029,3.0,English,18 or older,continue,,,,,,,,,Male,Very happy,Satisfied,Satisfied,Can't be too careful,"No, not",,,,,,,,Government should do more to solve problems,Somewhat important,One of the most important things,Somewhat important,Very important but not the most,Very important but not the most,Not important,Very important but not the most,One of the most important things,Yes,Yes,(VOL) Don't know/Refused,(VOL) Don't know/Refused,"No, did not","No, did not",(VOL) Don't know/Refused,"No, did not",Voted,(VOL) Refused,,Always,"No, has not changed",Opponents and special interests have prevented change,60.0,"College graduate (B.S., B.A., or other 4-year degree)",No,,,No,,,,,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,No,,No,No,New technology makes people closer to their friends and family,New technology makes people waste too much time,New technology makes life easier,,Yes,0.0,,No,Yes,No,Yes,Yes,Yes,Yes,Full-time,,,Work for someone else,A career,Yes,,,,Fairly closely,Yes,Not at all likely,Very likely,(VOL) Both,(VOL) Don't know/Refused,Saving and investing as much as you should,Yes have done it in last 12 months,Yes,No,No,No,No,Yes,(VOL) Don't know/Refused,No,Yes,Yes,No,No,,,No,Married,"Yes, have",Lived with current spouse before married,No,Both parents,Married,HISP3,Not Hispanic,,No,White,White,,,,White non-Hispanic,2.0,0.0,,Roman Catholic (Catholic),,,"No, would not",A few times a year,"$150,000 or more?",,Covered by health insurance,"Yes, registered",Absolutely certain,Independent,(VOL) Other/Don't know/Refused,Moderate,,,,Own,,,,,Yes home telephone,,Some on a cell phone and some on a regular home phone,Male,No,Black or African-American,,,,English,100125,Monday,"Dual/few, some cell",2.0,1.0,1.47,1.47,0.0
101459.0,Complete,4968c,Eastern,26163,19820.0,3,,,,2,2,5,Midwest,MI,26163,5.0,English,18 or older,continue,,,,,,,,,Male,Pretty happy,Satisfied,Satisfied,Can't be too careful,"No, not",,,,,,,,Government should do more to solve problems,Very important but not the most,Very important but not the most,Very important but not the most,One of the most important things,Very important but not the most,Not important,Very important but not the most,Very important but not the most,No,No,"No, did not",,,"No, did not","No, did not","No, did not",Voted,Obama,,Always,"No, has not changed",Opponents and special interests have prevented change,80.0,High school graduate (Grade 12 or GED certificate),,,,,,,,,Bad thing for society,Good thing for society,Bad thing for society,Doesn't make much difference,Doesn't make much difference,,,,,New technology makes people more isolated,New technology allows people to use their time more efficiently,(VOL) Neither equally,,No,,,,,,No,Yes,Yes,No,Not employed,Retired,,,,,,Yes,,Not too closely,,,,(VOL) Don't know/Refused,Oppose,Saving and investing as much as you should,Yes have done it in last 12 months,Yes,No,Yes,,No,No,Yes,,No,No,No,No,,,No,Widowed,"No, have not",,No,Both parents,Married,HISP3,Not Hispanic,,No,White,White,,,,White non-Hispanic,1.0,,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",,,"No, would not",Once a week,"50 to under $75,000,",,Covered by health insurance,"Yes, registered",Absolutely certain,Democrat,,Conservative,,,,Own,,,,,Yes home telephone,All or almost all calls on a regular home phone,,Male,No,White,,,,English,100125,Monday,"Dual/few, some cell",1.0,1.0,1.47,1.47,0.0
101460.0,Complete,4968c,Eastern,42003,38300.0,2,,,,1,1,4,Northeast,PA,42003,4.0,English,18 or older,continue,,,,,,,,,Male,Not too happy,Dissatisfied,Satisfied,Can't be too careful,"Yes, unique and distinct",Answer given,Values/Morals/Religious beliefs,,,,,Young people have no ethical standards,Government is doing too many things better left to businesses and individuals,Not important,Very important but not the most,Very important but not the most,Very important but not the most,Very important but not the most,Not important,Somewhat important,Very important but not the most,Yes,Yes,"No, did not","No, did not","No, did not","No, did not","No, did not","No, did not",Voted,McCain,,Always,"No, has not changed",Obama hasn't really tried to change things,65.0,"Some college, no 4-year degree (including associate degree)",,,,,,,,,Bad thing for society,Bad thing for society,Doesn't make much difference,Good thing for society,Bad thing for society,No,,No,No,New technology makes people more isolated,New technology allows people to use their time more efficiently,New technology makes life easier,,No,,,No,Yes,No,No,Yes,Yes,Yes,Full-time,,,Self-employed/own a business,Just a job to get you by,No,No,,,Not at all closely,Yes,Not at all likely,Very likely,Business corporations,Strongly oppose,Should be saving and investing more,"No, have not ever done it",Yes,Yes,Yes,No,No,No,No,,Yes,No,No,No,,,No,Married,"Yes, have",Lived with current spouse before married,No,Both parents,Married,HISP2,Not Hispanic,No,,White,White,,,,White non-Hispanic,2.0,0.0,,Roman Catholic (Catholic),,,"No, would not",Once a week,"75 to under $100,000,",,Covered by health insurance,"Yes, registered",Absolutely certain,Republican,,Conservative,,,,Own,,,,,Yes home telephone,,All or almost all calls on a regular home phone,Male,No,White,,,,English,100125,Monday,"Dual/few, some cell",2.0,1.0,1.47,1.47,0.0
101462.0,Complete,4968c,Eastern,39061,17140.0,3,,,,2,2,5,Northeast,NJ,34025,4.0,English,18 or older,continue,,,,,,,,,Female,Not too happy,Dissatisfied,Dissatisfied,Can't be too careful,"No, not",,,,,,,,Government should do more to solve problems,One of the most important things,Very important but not the most,Somewhat important,One of the most important things,Not important,Very important but not the most,Very important but not the most,Very important but not the most,Yes,Yes,"No, did not","No, did not","No, did not","No, did not","Yes, did this","No, did not",Did not vote (includes too young to vote),,(VOL) Don't remember which candidate,(VOL) Never vote,"No, has not changed",Obama hasn't really tried to change things,19.0,High school graduate (Grade 12 or GED certificate),"Yes, in College (Undergraduate)","Attend college, bachelor's degree",,,,,,,Doesn't make much difference,Doesn't make much difference,Bad thing for society,Bad thing for society,Doesn't make much difference,Yes,Several times a day,Yes,Yes,New technology makes people closer to their friends and family,(VOL) Both equally,New technology makes life easier,,Yes,35.0,,Yes,Yes,Yes,No,No,No,No,Part-time,,,Work for someone else,A stepping stone to a career,No,Yes,,,Fairly closely,Yes,Very likely,Not at all likely,(VOL) Both,Favor,Should be saving and investing more,"No, have not ever done it",Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,2.0,"No, not visible",No,Never been married,"No, have not",,No,Only your mother,Never married,HISP2,Hispanic,Yes,,Don't know/Refused (VOL.),(VOL) Don't know/Refused,,,,Hispanic,3.0,1.0,,Roman Catholic (Catholic),,,"No, would not",Seldom,"30 to under $40,000,",Yes,Covered by health insurance,"Yes, registered",Absolutely certain,Democrat,,Conservative,U.S.,U.S.,Puerto Rico,,Live with parents,,,,"No, home telephone",,,Female,Yes,(VOL) Don't know/Refused,,,,English,100125,Monday,CPO,2.0,1.0,1.47,1.47,2.0
101464.0,Complete,4968c,Eastern,45045,24860.0,5,,,,3,3,3,South,SC,45045,3.0,English,18 or older,continue,,,,,,,,,Female,Pretty happy,Dissatisfied,Satisfied,(VOL) Other/Depends,"Yes, unique and distinct",(VOL) Don't know/Refused,,,,,,,Government is doing too many things better left to businesses and individuals,Somewhat important,Very important but not the most,Very important but not the most,Very important but not the most,Somewhat important,Not important,Very important but not the most,Very important but not the most,Yes,Yes,"Yes, did this","No, did not","No, did not","Yes, did this","Yes, did this","Yes, did this",Voted,McCain,,Always,"No, has not changed",Obama hasn't really tried to change things,43.0,"College graduate (B.S., B.A., or other 4-year degree)",No,,,Yes,Graduate or professional school or degree,,,,Good thing for society,Good thing for society,Good thing for society,Doesn't make much difference,Good thing for society,Yes,Less often,No,No,New technology makes people closer to their friends and family,(VOL) Both equally,New technology makes life easier,,Yes,0.0,,Yes,Yes,Yes,No,No,No,Yes,Full-time,,,Work for someone else,A stepping stone to a career,No,(VOL) Don't know/Refused,,,Very closely,Yes,Somewhat likely,Somewhat likely,Government,Favor,Should be saving and investing more,Yes have done it in last 12 months,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,,,No,Never been married,"Yes, have",,No,Only your mother,Married,HISP3,Not Hispanic,,No,White,White,,,,White non-Hispanic,1.0,,,(VOL) Christian,<11:(VOL) Something else {SPECIFY}>:christian,Yes,"Yes, would",Once or twice a month,"40 to under $50,000,",,Covered by health insurance,"Yes, registered",Absolutely certain,Independent,(VOL) Other/Don't know/Refused,Conservative,,,,Own,,,,,"No, home telephone",,,Female,No,White,,,,English,100125,Monday,CPO,1.0,1.0,1.47,1.47,0.0
101465.0,Complete,4968c,Eastern,21111,31140.0,6,,,,3,3,4,South,KY,21111,4.0,English,18 or older,continue,,,,,,,,,Male,Very happy,Satisfied,Satisfied,Can't be too careful,"Yes, unique and distinct",Answer given,Respectful,,,,,More happier,Government is doing too many things better left to businesses and individuals,Somewhat important,Very important but not the most,Very important but not the most,One of the most important things,Somewhat important,Somewhat important,Very important but not the most,One of the most important things,Yes,Yes,"No, did not","No, did not","No, did not","No, did not","No, did not","No, did not",Did not vote (includes too young to vote),,Obama,(VOL) Never vote,Yes has changed,,25.0,"None, or grade 1-8",No,,,Yes,Finish high school,,You don't have time to be in school right now,,Good thing for society,Bad thing for society,Doesn't make much difference,Good thing for society,Good thing for society,No,,No,No,New technology makes people closer to their friends and family,New technology allows people to use their time more efficiently,New technology makes life more complicated,,Yes,4.0,,No,No,No,Yes,Yes,Yes,No,Full-time,,,Work for someone else,Just a job to get you by,No,No,,,Fairly closely,Yes,Very likely,Somewhat likely,Business corporations,Strongly favor,Should be saving and investing more,Yes have done it in last 12 months,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,,,No,Never been married,"No, have not",,No,Only your father,Married,HISP3,Hispanic,,Yes,White,White,,,,Hispanic,3.0,0.0,,Roman Catholic (Catholic),,,"No, would not",Once or twice a month,"Less than $10,000,",Yes,Covered by health insurance,"No, not registered",,Independent,Republican,Conservative,Another country,,,,Live with parents,,,,Yes home telephone,,All or almost all calls on a regular home phone,Female,Yes,White,,,,Spanish,100125,Monday,"Dual/few, some cell",3.0,1.0,1.47,1.47,0.0
101466.0,Complete,4968c,Eastern,39037,0.0,3,,,,2,2,1,Midwest,OH,39037,1.0,English,18 or older,continue,,,,,,,,,Male,Pretty happy,Dissatisfied,Dissatisfied,Can't be too careful,"No, not",,,,,,,,Government is doing too many things better left to businesses and individuals,Very important but not the most,Not important,One of the most important things,(VOL) Don't know/Refused,Very important but not the most,Not important,One of the most important things,One of the most important things,Yes,Yes,"No, did not","Yes, did this","No, did not","Yes, did this","Yes, did this","Yes, did this",Voted,(VOL) Refused,,Always,"No, has not changed",(VOL) Don't know/Refused,36.0,"College graduate (B.S., B.A., or other 4-year degree)",No,,,No,,,,,Bad thing for society,Bad thing for society,Doesn't make much difference,Bad thing for society,Doesn't make much difference,No,,No,Yes,New technology makes people more isolated,New technology makes people waste too much time,New technology makes life more complicated,,No,,,No,Yes,No,No,Yes,No,Yes,Full-time,,,Both,A career,Yes,,,,Very closely,Yes,Somewhat likely,Not very likely,Government,Oppose,Should be saving and investing more,Yes have done it in last 12 months,Yes,No,(VOL) Don't know/Refused,No,No,No,No,,Yes,Yes,No,No,,,No,Never been married,"Yes, have",,No,Both parents,Married,HISP3,Not Hispanic,,No,White,White,,,,White non-Hispanic,1.0,,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",,,"Yes, would",Once a week,"30 to under $40,000,",No,Covered by health insurance,"Yes, registered",Absolutely certain,Independent,(VOL) Other/Don't know/Refused,Conservative,,,,Own,,,,,"No, home telephone",,,Male,(VOL) Don't know/Refused,(VOL) Don't know/Refused,,,,English,100125,Monday,CPO,1.0,1.0,1.47,1.47,0.0
101467.0,Complete,4968c,Eastern,39035,17460.0,3,,,,2,2,5,Midwest,OH,39035,5.0,English,18 or older,continue,,,,,,,,,Male,Pretty happy,Satisfied,Satisfied,Can't be too careful,"Yes, unique and distinct",Answer given,A/O general miscellaneous mentions,,,,,don't get us,Government is doing too many things better left to businesses and individuals,Somewhat important,Very important but not the most,Very important but not the most,Very important but not the most,Very important but not the most,Not important,Somewhat important,Very important but not the most,Yes,No,"No, did not","No, did not","No, did not","No, did not","No, did not","No, did not",Voted,Obama,,Always,Yes has changed,,40.0,High school graduate (Grade 12 or GED certificate),No,,,No,,,,,Bad thing for society,Bad thing for society,Doesn't make much difference,Good thing for society,Bad thing for society,No,,No,No,(VOL) Neither equally,New technology allows people to use their time more efficiently,New technology makes life easier,,Yes,1.0,,No,No,No,No,Yes,Yes,No,Part-time,,,Work for someone else,A career,Yes,,,,Not too closely,No,Not at all likely,Not very likely,(VOL) Both,Oppose,Should be saving and investing more,"Yes, but have not done it in last 12 months (or unsure if done in last 12 months)",Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,2.0,"No, not visible",No,Living with a partner,,,Yes,Both parents,Married,HISP2,Not Hispanic,No,,Black or African-American,Black or African-American,,,,Black non-Hispanic,3.0,1.0,,(VOL) Christian,,,"Yes, would",Once or twice a month,"20 to under $30,000,",,Covered by health insurance,"Yes, registered",Absolutely certain,Democrat,,Moderate,,,,Rent,,,,,Yes home telephone,,Some on a cell phone and some on a regular home phone,Female,Yes,White,,,,English,100125,Monday,"Dual/few, some cell",2.0,1.0,1.47,1.47,2.0
101468.0,Complete,4968c,Eastern,36061,35620.0,2,,,,1,1,5,Northeast,NY,36061,5.0,English,18 or older,continue,,,,,,,,,Female,Pretty happy,Satisfied,Satisfied,Can't be too careful,"Yes, unique and distinct",Answer given,Technology use,,,,,technology,Government should do more to solve problems,Very important but not the most,One of the most important things,Not important,Very important but not the most,Somewhat important,Not important,Somewhat important,Not important,Yes,Yes,"No, did not","No, did not","No, did not","No, did not","Yes, did this","Yes, did this",Did not vote (includes too young to vote),,Obama,Always,"No, has not changed",Opponents and special interests have prevented change,30.0,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical",No,,,No,,,,,Doesn't make much difference,Good thing for society,Doesn't make much difference,Good thing for society,Good thing for society,Yes,Several times a day,No,Yes,New technology makes people more isolated,New technology allows people to use their time more efficiently,New technology makes life easier,,Yes,100.0,,Yes,Yes,No,No,Yes,Yes,Yes,Full-time,,,Work for someone else,A career,No,Yes,,,Very closely,Yes,Not at all likely,Not very likely,Business corporations,Favor,Should be saving and investing more,Yes have done it in last 12 months,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,,,No,Married,"Yes, have",Lived with current spouse before married,No,Only your mother,Divorced,HISP3,Not Hispanic,,No,White,White,,,,White non-Hispanic,2.0,0.0,,Jewish (Judaism),,,,A few times a year,"$150,000 or more?",No,Covered by health insurance,"Yes, registered",Absolutely certain,Democrat,,Very liberal?,,,,Own,,,,,Yes home telephone,,All or almost all calls on a cell phone,Male,No,White,,,,English,100127,Wednesday,Dual/most cell,2.0,1.0,1.47,1.47,0.0
101471.0,Complete,4968c,Central,19013,47940.0,4,,,,2,2,2,South,FL,12031,4.0,English,18 or older,continue,,,,,,,,,Female,Pretty happy,Dissatisfied,(VOL) Don't know/Refused,Can't be too careful,"Yes, unique and distinct",Answer given,A/O different use of technology mentions,,,,,technology was not there when growing up,Government is doing too many things better left to businesses and individuals,Very important but not the most,One of the most important things,One of the most important things,One of the most important things,Very important but not the most,Somewhat important,Very important but not the most,Very important but not the most,Yes,Yes,"No, did not","No, did not","Yes, did this","No, did not","No, did not","No, did not",Voted,Obama,,Always,Yes has changed,,44.0,"Some college, no 4-year degree (including associate degree)",No,,,Yes,"Attend college, bachelor's degree",,,,Bad thing for society,Bad thing for society,Bad thing for society,Good thing for society,Good thing for society,Yes,About once a day,No,Yes,New technology makes people closer to their friends and family,(VOL) Both equally,(VOL) Both equally,,Yes,12.0,,Yes,Yes,Yes,No,No,Yes,No,Full-time,,,Work for someone else,A career,Yes,,,,Very closely,Yes,Somewhat likely,Very likely,(VOL) Don't know/Refused,Strongly oppose,Should be saving and investing more,Yes have done it in last 12 months,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,,No,Married,"No, have not",,Yes,Both parents,Married,HISP2,Hispanic,Yes,,Don't know/Refused (VOL.),(VOL) Don't know/Refused,,,,Hispanic,3.0,1.0,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",,,"Yes, would",Once a week,"$100 to under $150,000, or",,Covered by health insurance,"Yes, registered",Absolutely certain,Democrat,,Moderate,U.S.,Puerto Rico,Puerto Rico,Own,,,,,Yes home telephone,,All or almost all calls on a cell phone,Female,Yes,(VOL) Don't know/Refused,,,,English,100125,Monday,Dual/most cell,2.0,1.0,1.47,1.47,0.0
101473.0,Complete,4968c,Central,47037,34980.0,6,,,,3,3,4,South,TN,47037,4.0,English,18 or older,continue,,,,,,,,,Female,Very happy,Dissatisfied,Satisfied,Most people can be trusted,"No, not",,,,,,,,Government is doing too many things better left to businesses and individuals,Very important but not the most,Very important but not the most,Very important but not the most,One of the most important things,Very important but not the most,Not important,Very important but not the most,Very important but not the most,Yes,Yes,"No, did not","Yes, did this","Yes, did this","Yes, did this","No, did not","No, did not",Voted,McCain,,Nearly always,"No, has not changed",Obama hasn't really tried to change things,44.0,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical",No,,,Yes,Graduate or professional school or degree,,,,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,Yes,About once a day,No,Yes,New technology makes people closer to their friends and family,New technology makes people waste too much time,New technology makes life easier,,Yes,40.0,,No,Yes,Yes,No,No,Yes,No,Full-time,,,Self-employed/own a business,A career,Yes,,,,Very closely,Yes,Very likely,Somewhat likely,Business corporations,Oppose,Should be saving and investing more,Yes have done it in last 12 months,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,,No,Married,"No, have not",,Yes,Both parents,Married,HISP3,Not Hispanic,,No,White,White,,,,White non-Hispanic,4.0,2.0,,Nothing in particular,,,,Never,(VOL) Don't know/Refused,,Covered by health insurance,"Yes, registered",Absolutely certain,Republican,,Moderate,,,,Own,,,,,Yes home telephone,,All or almost all calls on a regular home phone,Female,No,Black or African-American,,,,English,100125,Monday,"Dual/few, some cell",2.0,1.0,1.47,1.47,0.0
101474.0,Complete,4968c,Central,29095,28140.0,4,,,,2,2,4,Midwest,MO,29095,4.0,English,18 or older,continue,,,,,,,,,Male,Very happy,Dissatisfied,Dissatisfied,Can't be too careful,"Yes, unique and distinct",Answer given,Smarter/More well-educated/Wiser,Laid back/Relaxed/Carefree/Down to earth,,,,More cautious but laid back and watch out for myself,Government should do more to solve problems,Very important but not the most,Very important but not the most,Very important but not the most,Very important but not the most,Very important but not the most,Not important,One of the most important things,Very important but not the most,Yes,Yes,"No, did not","No, did not","No, did not","No, did not","Yes, did this","Yes, did this",Voted,Obama,,Part of the time [OR],"No, has not changed",(VOL) Don't know/Refused,41.0,High school graduate (Grade 12 or GED certificate),No,,,No,,,,,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,Yes,Once a week,No,No,(VOL) Both equally,(VOL) Both equally,New technology makes life easier,,Yes,300.0,,No,Yes,No,No,Yes,Yes,No,Not employed,Retired,,,,,,Yes,,Very closely,,,,Government,Strongly favor,Should be saving and investing more,"No, have not ever done it",No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,1.0,"No, not visible",No,Never been married,"Yes, have",,Yes,Both parents,Married,HISP3,Not Hispanic,,No,Asian or Asian-American,Asian or Asian-American,,,,Other,1.0,,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",<11:(VOL) Something else {SPECIFY}>:conocostal,Yes,"Yes, would",Once a week,"Less than $10,000,",,Covered by health insurance,"Yes, registered",Absolutely certain,Democrat,,Very conservative,,,,Rent,,,,,Yes home telephone,Some on a cell phone and some on a regular home phone,,Male,No,White,,,,English,100125,Monday,"Dual/few, some cell",1.0,1.0,1.47,1.47,1.0
101475.0,Complete,4968c,Central,29019,17860.0,4,,,,2,2,2,Midwest,MO,29019,2.0,English,18 or older,continue,,,,,,,,,Female,Very happy,Satisfied,Satisfied,Can't be too careful,"Yes, unique and distinct",Answer given,Values/Morals/Religious beliefs,Technology use,,,,technogoly...different moral standards,Government is doing too many things better left to businesses and individuals,Somewhat important,Somewhat important,Not important,One of the most important things,Very important but not the most,Not important,Very important but not the most,Somewhat important,Yes,Yes,"No, did not","No, did not","No, did not","Yes, did this","Yes, did this","Yes, did this",Voted,Obama,,Nearly always,Yes has changed,,21.0,"Some college, no 4-year degree (including associate degree)","Yes, in College (Undergraduate)",Graduate or professional school or degree,,,,,,,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,Good thing for society,Doesn't make much difference,Yes,Every few days,No,Yes,New technology makes people closer to their friends and family,New technology allows people to use their time more efficiently,New technology makes life more complicated,,Yes,20.0,,No,Yes,No,No,Yes,Yes,Yes,Part-time,,,Work for someone else,A stepping stone to a career,No,Yes,,,Fairly closely,Yes,Somewhat likely,Not at all likely,Government,Strongly favor,Should be saving and investing more,Yes have done it in last 12 months,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,,,No,Never been married,"No, have not",,No,Both parents,Married,HISP3,Not Hispanic,,No,White,White,,,,White non-Hispanic,4.0,0.0,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",,,"No, would not",Seldom,"$100 to under $150,000, or",Yes,Covered by health insurance,"Yes, registered",Absolutely certain,Democrat,,Very liberal?,,,,,Rent,,,,"No, home telephone",,,Female,No,White,,,,English,100125,Monday,CPO,4.0,1.0,1.47,1.47,0.0
101476.0,Complete,4968c,Central,48419,0.0,7,,,,3,3,1,South,TX,48419,1.0,English,18 or older,continue,,,,,,,,,Male,Pretty happy,Satisfied,Satisfied,Can't be too careful,(VOL) Don't know/Refused,,,,,,,,Government should do more to solve problems,One of the most important things,One of the most important things,Very important but not the most,Very important but not the most,Very important but not the most,Not important,Very important but not the most,One of the most important things,Yes,No,"No, did not","No, did not","No, did not","No, did not","Yes, did this","No, did not",Did not vote (includes too young to vote),,Obama,Part of the time [OR],"No, has not changed",Opponents and special interests have prevented change,18.0,High school graduate (Grade 12 or GED certificate),No,,,Yes,"Attend college, no degree or 2 year/associate degree",,You don't have time to be in school right now,,Bad thing for society,Bad thing for society,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,Yes,Every few days,No,No,New technology makes people closer to their friends and family,(VOL) Both equally,New technology makes life easier,,Yes,200.0,,No,No,No,Yes,No,No,No,Not employed,Student,,,,,,(VOL) Don't know/Refused,,Fairly closely,,,,Business corporations,Strongly oppose,Should be saving and investing more,Yes have done it in last 12 months,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,,,No,Never been married,"No, have not",,No,Only your mother,Married,HISP2,Not Hispanic,No,,White,White,,,,White non-Hispanic,5.0,2.0,,Roman Catholic (Catholic),,,(VOL) Don't know/Refused,A few times a year,(VOL) Don't know/Refused,No,Not covered by health insurance,"No, not registered",,Democrat,,Moderate,,,,,Live with parents,,,,Yes home telephone,,All or almost all calls on a cell phone,Male,Yes,Or some other race,,,,English,100125,Monday,Dual/most cell,3.0,1.0,1.47,1.47,0.0
101478.0,Complete,4968c,Central,47157,32820.0,6,,,,3,3,4,South,MS,28033,2.0,English,18 or older,continue,,,,,,,,,Female,Not too happy,Dissatisfied,Satisfied,Can't be too careful,"No, not",,,,,,,,Government should do more to solve problems,Somewhat important,Very important but not the most,Very important but not the most,Very important but not the most,Somewhat important,Not important,Very important but not the most,Very important but not the most,Yes,Yes,"Yes, did this","Yes, did this","Yes, did this","Yes, did this","No, did not","No, did not",Voted,McCain,,Always,"No, has not changed",Opponents and special interests have prevented change,44.0,"Some college, no 4-year degree (including associate degree)",No,,,No,,,,,Bad thing for society,Bad thing for society,Bad thing for society,Bad thing for society,Bad thing for society,No,,No,Yes,New technology makes people more isolated,New technology allows people to use their time more efficiently,New technology makes life easier,,Yes,10.0,,No,Yes,No,Yes,No,Yes,No,Full-time,,,Work for someone else,A career,Yes,,,,Fairly closely,No,Not at all likely,Very likely,Government,Strongly oppose,Should be saving and investing more,"No, have not ever done it",No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,1.0,"No, not visible",No,Married,"No, have not",,No,Both parents,Married,HISP3,Not Hispanic,,No,Asian or Asian-American,Asian or Asian-American,,,,Other,4.0,0.0,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",,,"Yes, would",Seldom,"$150,000 or more?",,Covered by health insurance,"Yes, registered",Absolutely certain,Republican,,Moderate,,,,Own,,,,,Yes home telephone,,All or almost all calls on a cell phone,Female,No,White,,,,English,100125,Monday,Dual/most cell,4.0,1.0,1.47,1.47,1.0
101479.0,Complete,4968c,Central,55079,33340.0,3,,,,2,2,5,Midwest,WI,55089,3.0,English,18 or older,continue,,,,,,,,,Male,Pretty happy,Dissatisfied,Satisfied,Can't be too careful,"Yes, unique and distinct",Answer given,A/O different behaviors and lifestyles mentions,,,,,personal grooming,Government should do more to solve problems,Somewhat important,Very important but not the most,Somewhat important,One of the most important things,One of the most important things,Not important,Very important but not the most,Very important but not the most,Yes,No,"No, did not","No, did not","No, did not","No, did not","No, did not","Yes, did this",Voted,McCain,,Nearly always,"No, has not changed",Opponents and special interests have prevented change,41.0,High school graduate (Grade 12 or GED certificate),No,,,No,,,,,Bad thing for society,Bad thing for society,Good thing for society,Good thing for society,Bad thing for society,No,,No,Yes,New technology makes people closer to their friends and family,New technology makes people waste too much time,New technology makes life easier,,Yes,10.0,,No,No,No,No,No,Yes,Yes,Full-time,,,Work for someone else,A career,No,Yes,,,Very closely,Yes,Somewhat likely,Somewhat likely,(VOL) Both,Strongly oppose,Should be saving and investing more,"No, have not ever done it",Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,1.0,(VOL) Don't know/Refused,No,Living with a partner,,,No,Both parents,Married,HISP2,Not Hispanic,No,,White,White,,,,White non-Hispanic,4.0,3.0,,Nothing in particular,,,,Never,"20 to under $30,000,",,Not covered by health insurance,"No, not registered",,Independent,Republican,Very conservative,,,,Own,,,,,"No, home telephone",,,Male,No,White,,,,English,100125,Monday,CPO,1.0,1.0,1.47,1.47,1.0
